ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-12,-7,0,200,10,80,20,800,400,20,12,30
770,200,-12,-7,0,200,10,80,20,800,400,20,12,30
758,193,-12,-7,0,180,10,80,20,800,400,20,12,30
746,186,-12,-7,0,160,10,80,20,800,400,20,12,30
734,179,-12,-7,0,140,10,80,20,800,400,20,12,30
722,172,-12,-7,0,120,10,80,20,800,400,20,12,30
710,165,-12,-7,0,100,10,80,20,800,400,20,12,30
698,158,-12,-7,0,80,10,80,20,800,400,20,12,30
686,151,-12,-7,0,60,10,80,20,800,400,20,12,30
674,144,-12,-7,0,60,10,80,20,800,400,20,12,30
662,137,-12,-7,0,60,10,80,20,800,400,20,12,30
650,130,-12,-7,0,60,10,80,20,800,400,20,12,30
638,123,-12,-7,0,60,10,80,20,800,400,20,12,30
626,116,-12,-7,0,60,10,80,20,800,400,20,12,30
614,109,-12,-7,0,60,10,80,20,800,400,20,12,30
602,102,-12,-7,0,60,10,80,20,800,400,20,12,30
590,95,-12,-7,0,60,10,80,20,800,400,20,12,30
578,88,-12,-7,0,60,10,80,20,800,400,20,12,30
566,81,-12,-7,0,60,10,80,20,800,400,20,12,30
554,74,-12,-7,0,60,10,80,20,800,400,20,12,30
542,67,-12,-7,0,60,10,80,20,800,400,20,12,30
530,60,-12,-7,0,60,10,80,20,800,400,20,12,30
518,53,-12,-7,0,60,10,80,20,800,400,20,12,30
506,46,-12,-7,0,60,10,80,20,800,400,20,12,30
494,39,-12,-7,0,60,10,80,20,800,400,20,12,30
482,32,-12,-7,0,60,10,80,20,800,400,20,12,30
470,39,-12,7,0,60,10,80,20,800,400,20,12,30
458,46,-12,7,0,60,10,80,20,800,400,20,12,30
446,53,-12,7,0,60,10,80,20,800,400,20,12,30
434,60,-12,7,0,60,10,80,20,800,400,20,12,30
422,67,-12,7,0,60,10,80,20,800,400,20,12,30
410,74,-12,7,0,60,10,80,20,800,400,20,12,30
398,81,-12,7,0,60,10,80,20,800,400,20,12,30
386,88,-12,7,0,80,10,80,20,800,400,20,12,30
374,95,-12,7,0,100,10,80,20,800,400,20,12,30
362,102,-12,7,0,120,10,80,20,800,400,20,12,30
350,109,-12,7,0,140,10,80,20,800,400,20,12,30
338,116,-12,7,0,160,10,80,20,800,400,20,12,30
326,123,-12,7,0,180,10,80,20,800,400,20,12,30
314,130,-12,7,0,200,10,80,20,800,400,20,12,30
302,137,-12,7,0,220,10,80,20,800,400,20,12,30
290,144,-12,7,0,240,10,80,20,800,400,20,12,30
278,151,-12,7,0,260,10,80,20,800,400,20,12,30
266,158,-12,7,0,280,10,80,20,800,400,20,12,30
254,165,-12,7,0,300,10,80,20,800,400,20,12,30
242,172,-12,7,0,320,10,80,20,800,400,20,12,30
230,179,-12,7,0,340,10,80,20,800,400,20,12,30
218,186,-12,7,0,340,10,80,20,800,400,20,12,30
206,193,-12,7,0,340,10,80,20,800,400,20,12,30
194,200,-12,7,0,340,10,80,20,800,400,20,12,30
182,207,-12,7,0,340,10,80,20,800,400,20,12,30
170,214,-12,7,0,340,10,80,20,800,400,20,12,30
158,221,-12,7,0,340,10,80,20,800,400,20,12,30
146,228,-12,7,0,340,10,80,20,800,400,20,12,30
134,235,-12,7,0,340,10,80,20,800,400,20,12,30
122,242,-12,7,0,340,10,80,20,800,400,20,12,30
110,249,-12,7,0,340,10,80,20,800,400,20,12,30
98,256,-12,7,0,340,10,80,20,800,400,20,12,30
86,263,-12,7,0,340,10,80,20,800,400,20,12,30
74,270,-12,7,0,340,10,80,20,800,400,20,12,30
62,277,-12,7,0,340,10,80,20,800,400,20,12,30
50,284,-12,7,0,340,10,80,20,800,400,20,12,30
38,291,-12,7,0,340,10,80,20,800,400,20,12,30
50,298,12,7,0,340,10,80,20,800,400,20,12,30
62,305,12,7,0,340,10,80,20,800,400,20,12,30
74,312,12,7,0,340,10,80,20,800,400,20,12,30
86,319,12,7,0,340,10,80,20,800,400,20,12,30
98,326,12,7,0,340,10,80,20,800,400,20,12,30
110,333,12,7,0,340,10,80,20,800,400,20,12,30
122,340,12,7,0,340,10,80,20,800,400,20,12,30
134,347,12,7,0,340,10,80,20,800,400,20,12,30
146,354,12,7,0,340,10,80,20,800,400,20,12,30
158,361,12,7,0,340,10,80,20,800,400,20,12,30
170,368,12,7,0,340,10,80,20,800,400,20,12,30
182,361,12,-7,0,340,10,80,20,800,400,20,12,30
194,354,12,-7,0,340,10,80,20,800,400,20,12,30
206,347,12,-7,0,340,10,80,20,800,400,20,12,30
218,340,12,-7,0,340,10,80,20,800,400,20,12,30
230,333,12,-7,0,340,10,80,20,800,400,20,12,30
242,326,12,-7,0,340,10,80,20,800,400,20,12,30
254,319,12,-7,0,340,10,80,20,800,400,20,12,30
266,312,12,-7,0,340,10,80,20,800,400,20,12,30
278,305,12,-7,0,340,10,80,20,800,400,20,12,30
290,298,12,-7,0,320,10,80,20,800,400,20,12,30
302,291,12,-7,0,300,10,80,20,800,400,20,12,30
314,284,12,-7,0,280,10,80,20,800,400,20,12,30
326,277,12,-7,0,260,10,80,20,800,400,20,12,30
338,270,12,-7,0,240,10,80,20,800,400,20,12,30
350,263,12,-7,0,220,10,80,20,800,400,20,12,30
362,256,12,-7,0,200,10,80,20,800,400,20,12,30
374,249,12,-7,0,180,10,80,20,800,400,20,12,30
386,242,12,-7,0,160,10,80,20,800,400,20,12,30
398,235,12,-7,0,140,10,80,20,800,400,20,12,30
410,228,12,-7,0,120,10,80,20,800,400,20,12,30
422,221,12,-7,0,100,10,80,20,800,400,20,12,30
434,214,12,-7,0,80,10,80,20,800,400,20,12,30
446,207,12,-7,0,60,10,80,20,800,400,20,12,30
458,200,12,-7,0,60,10,80,20,800,400,20,12,30
470,193,12,-7,0,60,10,80,20,800,400,20,12,30
482,186,12,-7,0,60,10,80,20,800,400,20,12,30
494,179,12,-7,0,60,10,80,20,800,400,20,12,30
506,172,12,-7,0,60,10,80,20,800,400,20,12,30
518,165,12,-7,0,60,10,80,20,800,400,20,12,30
530,158,12,-7,0,60,10,80,20,800,400,20,12,30
542,151,12,-7,0,60,10,80,20,800,400,20,12,30
554,144,12,-7,0,60,10,80,20,800,400,20,12,30
566,137,12,-7,0,60,10,80,20,800,400,20,12,30
578,130,12,-7,0,60,10,80,20,800,400,20,12,30
590,123,12,-7,0,60,10,80,20,800,400,20,12,30
602,116,12,-7,0,60,10,80,20,800,400,20,12,30
614,109,12,-7,0,60,10,80,20,800,400,20,12,30
626,102,12,-7,0,60,10,80,20,800,400,20,12,30
638,95,12,-7,0,60,10,80,20,800,400,20,12,30
650,88,12,-7,0,60,10,80,20,800,400,20,12,30
662,81,12,-7,0,60,10,80,20,800,400,20,12,30
674,74,12,-7,0,60,10,80,20,800,400,20,12,30
686,67,12,-7,0,60,10,80,20,800,400,20,12,30
698,60,12,-7,0,60,10,80,20,800,400,20,12,30
710,53,12,-7,0,60,10,80,20,800,400,20,12,30
722,46,12,-7,0,60,10,80,20,800,400,20,12,30
734,39,12,-7,0,60,10,80,20,800,400,20,12,30
746,32,12,-7,0,60,10,80,20,800,400,20,12,30
758,39,12,7,0,60,10,80,20,800,400,20,12,30
770,46,12,7,0,60,10,80,20,800,400,20,12,30
758,53,-12,7,0,60,10,80,20,800,400,20,12,30
746,60,-12,7,0,60,10,80,20,800,400,20,12,30
734,67,-12,7,0,60,10,80,20,800,400,20,12,30
722,74,-12,7,0,60,10,80,20,800,400,20,12,30
710,81,-12,7,0,60,10,80,20,800,400,20,12,30
698,88,-12,7,0,80,10,80,20,800,400,20,12,30
686,95,-12,7,0,100,10,80,20,800,400,20,12,30
674,102,-12,7,0,120,10,80,20,800,400,20,12,30
662,109,-12,7,0,140,10,80,20,800,400,20,12,30
650,116,-12,7,0,160,10,80,20,800,400,20,12,30
638,123,-12,7,0,180,10,80,20,800,400,20,12,30
626,130,-12,7,0,200,10,80,20,800,400,20,12,30
614,137,-12,7,0,220,10,80,20,800,400,20,12,30
602,144,-12,7,0,240,10,80,20,800,400,20,12,30
590,151,-12,7,0,260,10,80,20,800,400,20,12,30
578,158,-12,7,0,280,10,80,20,800,400,20,12,30
566,165,-12,7,0,300,10,80,20,800,400,20,12,30
554,172,-12,7,0,320,10,80,20,800,400,20,12,30
542,179,-12,7,0,340,10,80,20,800,400,20,12,30
530,186,-12,7,0,340,10,80,20,800,400,20,12,30
518,193,-12,7,0,340,10,80,20,800,400,20,12,30
506,200,-12,7,0,340,10,80,20,800,400,20,12,30
494,207,-12,7,0,340,10,80,20,800,400,20,12,30
482,214,-12,7,0,340,10,80,20,800,400,20,12,30
470,221,-12,7,0,340,10,80,20,800,400,20,12,30
458,228,-12,7,0,340,10,80,20,800,400,20,12,30
446,235,-12,7,0,340,10,80,20,800,400,20,12,30
434,242,-12,7,0,340,10,80,20,800,400,20,12,30
422,249,-12,7,0,340,10,80,20,800,400,20,12,30
410,256,-12,7,0,340,10,80,20,800,400,20,12,30
398,263,-12,7,0,340,10,80,20,800,400,20,12,30
386,270,-12,7,0,340,10,80,20,800,400,20,12,30
374,277,-12,7,0,340,10,80,20,800,400,20,12,30
362,284,-12,7,0,340,10,80,20,800,400,20,12,30
350,291,-12,7,0,340,10,80,20,800,400,20,12,30
338,298,-12,7,0,340,10,80,20,800,400,20,12,30
326,305,-12,7,0,340,10,80,20,800,400,20,12,30
314,312,-12,7,0,340,10,80,20,800,400,20,12,30
302,319,-12,7,0,340,10,80,20,800,400,20,12,30
290,326,-12,7,0,340,10,80,20,800,400,20,12,30
278,333,-12,7,0,340,10,80,20,800,400,20,12,30
266,340,-12,7,0,340,10,80,20,800,400,20,12,30
254,347,-12,7,0,340,10,80,20,800,400,20,12,30
242,354,-12,7,0,340,10,80,20,800,400,20,12,30
230,361,-12,7,0,340,10,80,20,800,400,20,12,30
218,368,-12,7,0,340,10,80,20,800,400,20,12,30
206,361,-12,-7,0,340,10,80,20,800,400,20,12,30
194,354,-12,-7,0,340,10,80,20,800,400,20,12,30
182,347,-12,-7,0,340,10,80,20,800,400,20,12,30
170,340,-12,-7,0,340,10,80,20,800,400,20,12,30
158,333,-12,-7,0,340,10,80,20,800,400,20,12,30
146,326,-12,-7,0,340,10,80,20,800,400,20,12,30
134,319,-12,-7,0,340,10,80,20,800,400,20,12,30
122,312,-12,-7,0,340,10,80,20,800,400,20,12,30
110,305,-12,-7,0,340,10,80,20,800,400,20,12,30
98,298,-12,-7,0,340,10,80,20,800,400,20,12,30
86,291,-12,-7,0,320,10,80,20,800,400,20,12,30
74,284,-12,-7,0,300,10,80,20,800,400,20,12,30
62,277,-12,-7,0,280,10,80,20,800,400,20,12,30
50,270,-12,-7,0,260,10,80,20,800,400,20,12,30
38,263,-12,-7,0,240,10,80,20,800,400,20,12,30
50,256,12,-7,0,220,10,80,20,800,400,20,12,30
62,249,12,-7,0,200,10,80,20,800,400,20,12,30
74,242,12,-7,0,180,10,80,20,800,400,20,12,30
86,235,12,-7,0,160,10,80,20,800,400,20,12,30
98,228,12,-7,0,140,10,80,20,800,400,20,12,30
110,221,12,-7,0,120,10,80,20,800,400,20,12,30
122,214,12,-7,0,100,10,80,20,800,400,20,12,30
134,207,12,-7,0,80,10,80,20,800,400,20,12,30
146,200,12,-7,0,60,10,80,20,800,400,20,12,30
158,193,12,-7,0,60,10,80,20,800,400,20,12,30
170,186,12,-7,0,60,10,80,20,800,400,20,12,30
182,179,12,-7,0,60,10,80,20,800,400,20,12,30
194,172,12,-7,0,60,10,80,20,800,400,20,12,30
206,165,12,-7,0,60,10,80,20,800,400,20,12,30
218,158,12,-7,0,60,10,80,20,800,400,20,12,30
230,151,12,-7,0,60,10,80,20,800,400,20,12,30
242,144,12,-7,0,60,10,80,20,800,400,20,12,30
254,137,12,-7,0,60,10,80,20,800,400,20,12,30
266,130,12,-7,0,60,10,80,20,800,400,20,12,30
278,123,12,-7,0,60,10,80,20,800,400,20,12,30
290,116,12,-7,0,60,10,80,20,800,400,20,12,30
302,109,12,-7,0,60,10,80,20,800,400,20,12,30
314,102,12,-7,0,60,10,80,20,800,400,20,12,30
326,95,12,-7,0,60,10,80,20,800,400,20,12,30
338,88,12,-7,0,60,10,80,20,800,400,20,12,30
350,81,12,-7,0,60,10,80,20,800,400,20,12,30
362,74,12,-7,0,60,10,80,20,800,400,20,12,30
374,67,12,-7,0,60,10,80,20,800,400,20,12,30
386,60,12,-7,0,60,10,80,20,800,400,20,12,30
398,53,12,-7,0,60,10,80,20,800,400,20,12,30
410,46,12,-7,0,60,10,80,20,800,400,20,12,30
422,39,12,-7,0,60,10,80,20,800,400,20,12,30
434,32,12,-7,0,60,10,80,20,800,400,20,12,30
446,39,12,7,0,60,10,80,20,800,400,20,12,30
458,46,12,7,0,60,10,80,20,800,400,20,12,30
470,53,12,7,0,60,10,80,20,800,400,20,12,30
482,60,12,7,0,60,10,80,20,800,400,20,12,30
494,67,12,7,0,60,10,80,20,800,400,20,12,30
506,74,12,7,0,60,10,80,20,800,400,20,12,30
518,81,12,7,0,60,10,80,20,800,400,20,12,30
530,88,12,7,0,60,10,80,20,800,400,20,12,30
542,95,12,7,0,60,10,80,20,800,400,20,12,30
554,102,12,7,0,80,10,80,20,800,400,20,12,30
566,109,12,7,0,100,10,80,20,800,400,20,12,30
578,116,12,7,0,120,10,80,20,800,400,20,12,30
590,123,12,7,0,140,10,80,20,800,400,20,12,30
602,130,12,7,0,160,10,80,20,800,400,20,12,30
614,137,12,7,0,180,10,80,20,800,400,20,12,30
626,144,12,7,0,200,10,80,20,800,400,20,12,30
638,151,12,7,0,220,10,80,20,800,400,20,12,30
650,158,12,7,0,240,10,80,20,800,400,20,12,30
662,165,12,7,0,260,10,80,20,800,400,20,12,30
674,172,12,7,0,280,10,80,20,800,400,20,12,30
686,179,12,7,0,300,10,80,20,800,400,20,12,30
698,186,12,7,0,320,10,80,20,800,400,20,12,30
710,193,12,7,0,340,10,80,20,800,400,20,12,30
722,200,12,7,0,340,10,80,20,800,400,20,12,30
734,207,12,7,0,340,10,80,20,800,400,20,12,30
746,214,12,7,0,340,10,80,20,800,400,20,12,30
758,221,12,7,0,340,10,80,20,800,400,20,12,30
770,228,12,7,0,340,10,80,20,800,400,20,12,30
782,235,12,7,0,340,10,80,20,800,400,20,12,30
758,196,-12,-4,0,200,10,80,20,800,400,20,12,30
746,192,-12,-4,0,180,10,80,20,800,400,20,12,30
734,188,-12,-4,0,160,10,80,20,800,400,20,12,30
722,184,-12,-4,0,140,10,80,20,800,400,20,12,30
710,180,-12,-4,0,120,10,80,20,800,400,20,12,30
698,176,-12,-4,0,100,10,80,20,800,400,20,12,30
686,172,-12,-4,0,80,10,80,20,800,400,20,12,30
674,168,-12,-4,0,60,10,80,20,800,400,20,12,30
662,164,-12,-4,0,60,10,80,20,800,400,20,12,30
650,160,-12,-4,0,60,10,80,20,800,400,20,12,30
638,156,-12,-4,0,60,10,80,20,800,400,20,12,30
626,152,-12,-4,0,60,10,80,20,800,400,20,12,30
614,148,-12,-4,0,60,10,80,20,800,400,20,12,30
602,144,-12,-4,0,60,10,80,20,800,400,20,12,30
590,140,-12,-4,0,60,10,80,20,800,400,20,12,30
578,136,-12,-4,0,60,10,80,20,800,400,20,12,30
566,132,-12,-4,0,60,10,80,20,800,400,20,12,30
554,128,-12,-4,0,60,10,80,20,800,400,20,12,30
542,124,-12,-4,0,60,10,80,20,800,400,20,12,30
530,120,-12,-4,0,60,10,80,20,800,400,20,12,30
518,116,-12,-4,0,60,10,80,20,800,400,20,12,30
506,112,-12,-4,0,60,10,80,20,800,400,20,12,30
494,108,-12,-4,0,60,10,80,20,800,400,20,12,30
482,104,-12,-4,0,60,10,80,20,800,400,20,12,30
470,100,-12,-4,0,60,10,80,20,800,400,20,12,30
458,96,-12,-4,0,60,10,80,20,800,400,20,12,30
446,92,-12,-4,0,60,10,80,20,800,400,20,12,30
434,88,-12,-4,0,60,10,80,20,800,400,20,12,30
422,84,-12,-4,0,60,10,80,20,800,400,20,12,30
410,80,-12,-4,0,60,10,80,20,800,400,20,12,30
398,76,-12,-4,0,60,10,80,20,800,400,20,12,30
386,72,-12,-4,0,60,10,80,20,800,400,20,12,30
374,68,-12,-4,0,60,10,80,20,800,400,20,12,30
362,64,-12,-4,0,60,10,80,20,800,400,20,12,30
350,60,-12,-4,0,60,10,80,20,800,400,20,12,30
338,56,-12,-4,0,60,10,80,20,800,400,20,12,30
326,52,-12,-4,0,60,10,80,20,800,400,20,12,30
314,48,-12,-4,0,60,10,80,20,800,400,20,12,30
302,44,-12,-4,0,60,10,80,20,800,400,20,12,30
290,40,-12,-4,0,60,10,80,20,800,400,20,12,30
278,36,-12,-4,0,60,10,80,20,800,400,20,12,30
266,32,-12,-4,0,60,10,80,20,800,400,20,12,30
254,36,-12,4,0,60,10,80,20,800,400,20,12,30
242,40,-12,4,0,60,10,80,20,800,400,20,12,30
230,44,-12,4,0,60,10,80,20,800,400,20,12,30
218,48,-12,4,0,60,10,80,20,800,400,20,12,30
206,52,-12,4,0,60,10,80,20,800,400,20,12,30
